_id,createdAt,segment,updatedAt,velocity
5ed382c38543fc619f05f298,2020-05-31T10:11:15.889Z,36724,2020-05-31T10:11:15.889Z,4.5
5ed382c38543fc619f05f29a,2020-05-31T10:11:15.890Z,58219,2020-05-31T10:11:15.890Z,7.571428571428571
5ed382c38543fc619f05f29c,2020-05-31T10:11:15.890Z,58221,2020-05-31T10:11:15.890Z,4
5ed382c38543fc619f05f29e,2020-05-31T10:11:15.890Z,58223,2020-05-31T10:11:15.890Z,5
5ed384df8543fc619f05f2a5,2020-05-31T10:20:15.854Z,56828,2020-05-31T10:20:15.854Z,5
5ed4571c8543fc619f05f3e0,2020-06-01T01:17:16.204Z,47406,2020-06-01T01:17:16.204Z,1.6923076923076923
5ed457d08543fc619f05f3f4,2020-06-01T01:20:16.190Z,47406,2020-06-01T01:20:16.190Z,1.25
5ed458848543fc619f05f406,2020-06-01T01:23:16.197Z,15416,2020-06-01T01:23:16.197Z,5
5ed458848543fc619f05f408,2020-06-01T01:23:16.197Z,47406,2020-06-01T01:23:16.197Z,1.4166666666666667
5ed459388543fc619f05f41c,2020-06-01T01:26:16.205Z,47406,2020-06-01T01:26:16.205Z,2.3846153846153846
5ed459388543fc619f05f41e,2020-06-01T01:26:16.205Z,47407,2020-06-01T01:26:16.205Z,5.5
5ed459ec8543fc619f05f430,2020-06-01T01:29:16.268Z,47406,2020-06-01T01:29:16.268Z,1.75
5ed459ec8543fc619f05f432,2020-06-01T01:29:16.305Z,47408,2020-06-01T01:29:16.305Z,1
5ed45aa08543fc619f05f441,2020-06-01T01:32:16.204Z,47406,2020-06-01T01:32:16.204Z,1.2727272727272727
5ed45b548543fc619f05f446,2020-06-01T01:35:16.207Z,47406,2020-06-01T01:35:16.207Z,1
5edb82fa8543fc619f05fe77,2020-06-06T11:50:18.825Z,47415,2020-06-06T11:50:18.825Z,5
5ee6d10f8543fc619f060e91,2020-06-15T01:38:23.030Z,46957,2020-06-15T01:38:23.030Z,5
5ee6d10f8543fc619f060e93,2020-06-15T01:38:23.031Z,47407,2020-06-15T01:38:23.031Z,5
5ee88f8b8543fc619f061114,2020-06-16T09:23:23.731Z,79991,2020-06-16T09:23:23.731Z,12
5ee88f8b8543fc619f061116,2020-06-16T09:23:23.732Z,80001,2020-06-16T09:23:23.732Z,18
5ee890f38543fc619f06111e,2020-06-16T09:29:23.696Z,79989,2020-06-16T09:29:23.696Z,2
5ee890f38543fc619f061120,2020-06-16T09:29:23.696Z,79999,2020-06-16T09:29:23.696Z,5
5ee891a78543fc619f061125,2020-06-16T09:32:23.700Z,79991,2020-06-16T09:32:23.700Z,2
5eeadc108543fc619f06147b,2020-06-18T03:14:24.534Z,21262,2020-06-18T03:14:24.534Z,1
5eeadc108543fc619f06147d,2020-06-18T03:14:24.534Z,21263,2020-06-18T03:14:24.534Z,1
